objid,ra,dec,petroR90_r,spiral,elliptical
1237661463844290854,246.664,26.77542,13.78083,0,1
1237661463844422035,246.8887,26.44617,10.06807,1,0
1237661463844749440,247.6117,26.06003,13.50708,0,1
1237661463844749516,247.4998,25.91803,13.54537,1,0
1237661463844815371,247.7755,25.95542,11.50598,1,0
1237661463845011693,247.9536,25.63642,7.181536,1,0
1237661463845011745,247.9444,25.59558,9.724382,0,1
1237661463845077007,248.1727,25.61764,7.09121,1,0
1237661463845208549,248.4058,25.28381,7.026046,1,0
1237661463845273891,248.454,25.21431,7.773047,0,1
1237661463845274126,248.566,25.14547,7.334483,0,1
1237661463845863979,249.743,24.32769,7.058733,1,0
1237661463846191514,250.2781,23.84094,14.09098,1,0
1237661463846256991,250.3949,23.78686,7.420285,1,0
1237661463846650198,251.1329,23.24067,8.332823,0,1
1237661463847436633,252.4933,21.93233,6.782716,0,1
1237661463847567970,252.8043,21.63744,6.550417,0,1
1237661463847829849,253.1921,21.34586,8.87246,1,0
1237661464375197775,234.3441,35.2415,14.40195,1,0
1237661464375263423,234.3898,35.23108,7.20349,0,1
1237658611445661863,174.911,48.34581,9.236744,0,1
1237661464375459915,234.7663,34.92955,8.321028,0,1
1237661464375591081,235.2445,34.8732,9.277293,0,1
1237661464375656589,235.3086,34.71281,5.909445,1,0
1237661464375722134,235.438,34.61789,5.679459,0,1
1237660634386530446,162.3972,44.13047,8.408307,1,0
1237660634386596046,162.6642,44.21297,7.132282,0,1
1237661464375853377,235.9112,34.51997,5.676499,1,0
1237660634386858089,163.459,44.36444,10.31235,1,0
1237660634386923630,163.5013,44.47039,6.962161,0,1
1237661464375918713,235.9789,34.48206,18.08101,0,1
1237661464375984289,236.053,34.33809,9.436645,1,0
1237661464375984373,236.0612,34.19289,10.61323,0,1
1237661464376181056,236.5576,33.9935,5.346651,1,0
1237660634387841192,166.5542,44.98325,8.029553,1,0
1237661464376508769,237.3432,33.64258,15.05188,1,0
1237661464376508813,237.3389,33.57497,4.657948,0,1
1237661464376574211,237.3551,33.45572,7.884689,1,0
1237660634388037786,167.0596,45.00689,7.927901,1,0
1237661464376574249,237.4008,33.44572,6.366242,0,1
1237661464376639718,237.6135,33.47705,15.78448,1,0
1237660634388037843,167.1829,45.06583,4.558086,0,1
1237661356465455194,167.919,45.35031,17.88472,1,0
1237661464376705288,237.8092,33.40656,10.20166,0,1
1237661464376901879,238.1599,33.11886,10.36759,1,0
1237660634388561924,168.6813,45.25775,8.552589,1,0
1237661464377032980,238.4249,32.82347,9.856238,1,0
1237661464377098410,238.5878,32.919,9.594132,1,0
1237661464377098427,238.4954,32.79758,9.856293,0,1
1237661464377360648,239.2063,32.45156,7.495039,0,1
1237660634388824086,169.5367,45.46814,10.8022,1,0
1237660634388824131,169.5138,45.40542,13.34991,1,0
1237661464377491562,239.4493,32.24855,9.911882,0,1
1237661464377491740,239.4808,32.26033,7.612856,1,0
1237661464377557335,239.6471,32.13625,6.585549,0,1
1237661464377688281,239.7435,31.97461,6.92731,1,0
1237661464377688349,239.8067,31.97078,7.650856,1,0
1237660634388889717,169.6695,45.55275,12.82073,0,1
1237661464377819466,240.1523,31.75064,9.059075,1,0
1237661464377950373,240.4071,31.72181,9.129122,1,0
1237661464378015850,240.6135,31.55297,13.73385,1,0
1237660634389282924,170.968,45.70644,11.98758,1,0
1237661464378212648,241.0873,31.28672,7.274968,1,0
1237661464378278114,241.0938,31.16833,4.871201,1,0
1237660634389545157,171.9735,45.83094,6.505641,1,0
1237660634390003766,173.4035,45.85178,13.11279,1,0
1237660634390331558,174.4816,46.07769,8.204543,1,0
1237661464378802239,242.2124,30.40839,11.02509,0,1
1237660634390659144,175.4542,46.16069,5.819173,0,1
1237660634390986840,176.5247,46.29744,8.671797,0,1
1237661464379195700,242.9643,29.86378,11.22476,1,0
1237661464379195752,243.009,29.8898,10.0482,0,1
1237661464379195843,243.0911,29.88025,10.1067,0,1
1237660634923401418,162.2851,44.68242,9.477249,0,1
1237660634923860011,163.542,44.92611,16.35303,1,0
1237660634924777588,166.5998,45.5112,12.21311,1,0
1237660634924908678,166.8264,45.52394,8.726282,0,1
1237661464380637631,246.072,27.8203,4.96395,1,0
1237661464380768620,246.286,27.63053,5.730578,0,1
1237660634924908738,166.9989,45.54989,7.196388,0,1
1237660634924974132,167.0507,45.50808,6.127551,1,0
1237660634925105227,167.5647,45.57119,8.005376,1,0
1237660634925236304,167.8788,45.64314,9.678817,0,1
1237661464381030601,246.7408,27.13019,8.016945,1,0
1237660634925236380,168.0483,45.7725,7.067692,1,0
1237660634925367464,168.4674,45.77025,6.532815,0,1
1237661464381423941,247.3663,26.59867,9.261935,0,1
1237660634925826117,169.8038,46.03842,8.339869,1,0
1237660634925826126,169.8535,45.96741,6.834689,1,0
1237660634925891620,169.9928,46.03806,8.6924,0,1
1237660634925891636,170.041,45.96405,8.464993,1,0
1237660634926219374,171.188,46.17258,8.865723,0,1
1237661464381817011,248.2836,26.03764,10.35863,1,0
1237660634926350390,171.4977,46.08344,7.783096,1,0
1237660634926481562,171.9585,46.31286,6.611612,0,1
1237661464381882763,248.3865,25.96447,9.715044,1,0
1237661464381948100,248.464,25.78517,9.778652,0,1
1237660634926612625,172.3588,46.338,9.798104,0,1
1237660634926678095,172.5381,46.23895,5.028821,0,1
1237660634926678156,172.6753,46.28686,8.47601,1,0
1237660634926743660,172.8621,46.23092,8.58158,1,0
1237660634926743672,172.8702,46.2675,12.62534,0,1
1237661464382079348,248.737,25.69258,21.45948,1,0
1237660634926874716,173.3657,46.29347,11.79511,0,1
1237661464382276088,249.18,25.33983,9.447887,1,0
1237660634927398966,174.8958,46.51308,8.192294,1,0
1237661464382734957,250.018,24.6025,9.338524,1,0
1237660634927399048,175.0965,46.48769,8.318265,0,1
1237661464383390239,251.2566,23.62483,9.468724,1,0
1237661464383586604,251.4648,23.34914,7.295019,0,1
1237660634927661062,175.7658,46.65155,10.28896,0,1
1237661464383914261,252.0505,22.80922,11.97028,0,1
1237660634927923230,176.6933,46.73658,7.161535,0,1
1237661464384503891,253.226,21.99792,14.35888,0,1
1237660635459747984,160.4979,44.67903,5.303511,0,1
1237660635459944621,161.0629,44.72489,8.431779,1,0
1237660635460010147,161.2464,44.92114,8.237832,0,1
1237660635460468826,162.6738,45.13583,5.815193,1,0
1237661464912265461,235.0058,35.30178,11.31875,1,0
1237661464912527593,235.6693,35.12125,11.36099,1,0
1237661464912527625,235.6842,35.10706,6.838288,1,0
1237661464912593056,235.7157,34.9852,5.329772,0,1
1237660635460862058,163.8508,45.34003,9.393325,1,0
1237660635460862076,163.8552,45.40525,9.217928,1,0
1237660635460862108,163.9374,45.40042,12.4585,0,1
1237660635460862140,163.9258,45.44478,9.026895,1,0
1237660635460862149,163.983,45.33492,8.216956,1,0
1237661464912658644,235.9367,34.84706,7.932019,1,0
1237661464912789691,236.1401,34.68022,7.282375,1,0
1237661464912789814,236.3616,34.74603,6.504937,1,0
1237660635461451881,165.8429,45.70478,9.769099,0,1
1237661464913117466,237.0747,34.32028,7.1939,1,0
1237661464913314041,237.4106,33.97275,5.727037,1,0
1237660635461779518,166.7673,45.82211,15.63802,1,0
1237660635461779623,166.6547,45.9972,8.211055,1,0
1237660635461779669,166.858,45.82989,12.30973,1,0
1237660635461845107,167.0345,45.98461,20.75042,1,0
1237661464913445157,237.7433,33.8675,16.74848,1,0
1237660635461976220,167.5327,45.95383,6.312481,0,1
1237660635462107159,167.7697,46.17406,8.882405,1,0
1237662337862598848,233.5961,37.04478,9.578263,0,1
1237661464913641515,238.0662,33.55903,10.70453,0,1
1237661464913641814,238.2464,33.59989,3.354008,0,1
1237660635462762599,169.9106,46.42011,8.773373,0,1
1237661464913772769,238.3463,33.36861,14.69262,0,1
1237661464913838351,238.6272,33.30197,8.159044,1,0
1237661464913903837,238.8328,33.24817,5.976958,0,1
1237661464913903838,238.8411,33.24886,7.827908,0,1
1237661464913969289,238.9541,33.13875,8.178659,1,0
1237660635463221435,171.5245,46.63283,9.391104,1,0
1237660635463286807,171.6582,46.62567,7.031671,0,1
1237661360228663413,215.2253,42.18464,10.46515,1,0
1237660635463876724,173.5638,46.86092,10.77334,1,0
1237660635463876749,173.6187,46.8865,12.45664,1,0
1237661360229187692,216.7375,41.67278,9.765065,1,0
1237660635463942250,173.8944,46.76392,4.828362,1,0
1237660635464007796,174.06,46.93583,7.898542,0,1
1237660635464138787,174.4126,46.95383,13.3239,1,0
1237660635464204417,174.6833,47.01361,4.333899,0,1
1237661360764682394,212.9447,43.09783,12.61244,1,0
1237660635464401034,175.4063,47.07983,15.17589,0,1
1237661360764813432,213.2781,43.11839,8.910833,0,1
1237661360764878967,213.5327,43.03739,3.6711,0,1
1237660635464663174,176.2753,47.11286,4.674261,0,1
1237661360765075577,214.1594,42.92639,7.607189,0,1
1237660635464728693,176.4406,47.17469,11.68155,0,1
1237660635996618863,160.1859,45.16111,8.611796,1,0
1237660635997274246,162.3898,45.52603,10.58083,1,0
1237661360765993240,216.82,42.07308,11.64742,0,1
1237661360765993265,216.8442,42.08606,4.386631,0,1
1237661360766189642,217.2848,41.83075,14.9356,1,0
1237660635997536269,162.9952,45.6987,9.093274,0,1
1237660635997732942,163.6625,45.84514,12.66421,1,0
1237660635997864060,164.0641,45.93731,11.27239,0,1
1237661433245597765,219.1665,41.16042,18.60865,1,0
1237661360767434794,220.7353,40.67503,6.98636,0,1
1237660635998257224,165.3486,46.05684,7.33471,1,0
1237661360767434963,220.714,40.63361,7.521569,1,0
1237661360767566032,221.114,40.59919,6.619609,1,0
1237660635998650529,166.5741,46.32911,8.482005,1,0
1237661360768155849,222.7052,40.04694,10.20654,0,1
1237661360768286867,223.0335,39.86131,10.65386,1,0
1237661360768614637,223.8515,39.57444,9.104856,1,0
1237660635999436872,169.1212,46.70519,9.511371,0,1
1237661360769204414,225.3266,38.84622,9.554344,1,0
1237661360769269975,225.6214,38.91047,10.76766,1,0
1237660635999633477,169.7977,46.69664,7.53128,0,1
1237660635999633498,169.8035,46.83408,10.94088,1,0
1237660635999699092,170.1422,46.8245,16.36158,0,1
1237661360769335465,225.6678,38.69161,10.7639,1,0
1237661360769532104,226.1622,38.48033,4.808479,1,0
1237660635999895626,170.68,46.85495,10.58068,1,0
1237661360769597652,226.4925,38.48986,13.28161,1,0
1237661360769663005,226.6184,38.42586,10.78838,0,1
1237660636000026783,171.1798,47.07828,11.63551,1,0
1237660636000026854,171.1995,47.07275,7.641728,1,0
1237660636000288859,171.9733,47.16261,7.984767,1,0
1237661360770056305,227.5535,37.85261,14.55857,1,0
1237661361301422298,212.8371,43.60569,7.930517,0,1
1237660636000420013,172.3888,47.21392,10.60428,1,0
1237661464914034886,239.045,33.08928,9.189831,0,1
1237661464914100383,239.1719,33.05761,5.648046,0,1
1237661464914165895,239.3034,32.94003,3.183389,1,0
1237661464914297032,239.6132,32.80294,8.153101,0,1
1237661464914297323,239.6002,32.74281,6.689448,1,0
1237661464914493616,239.9837,32.38114,11.66194,1,0
1237661464914559184,240.162,32.43539,9.307775,1,0
1237661361302274164,215.3048,43.05772,7.252545,0,1
1237661361302470767,215.816,42.87183,11.77088,1,0
1237661361302536243,216.01,42.64403,5.859185,0,1
1237660636000813168,173.7801,47.24722,13.11323,1,0
1237660636000944302,174.2985,47.22936,4.575628,0,1
1237660636001009749,174.2729,47.414,6.521282,1,0
1237661361302536315,215.9857,42.77444,9.321832,1,0
1237661361302536382,216.1093,42.71825,8.798316,0,1
1237661464915280126,241.7851,31.35197,9.125017,1,0
1237661464915345741,241.9536,31.27983,8.178959,0,1
1237661361303126135,217.6452,42.25025,11.12401,0,1
1237661361303191703,217.8974,42.0597,5.850233,1,0
1237661464915607789,242.4439,30.86342,7.30198,1,0
1237661464915804209,242.7238,30.59639,16.86651,1,0
1237661361303584972,218.9872,41.77908,7.429442,1,0
1237661361303650360,219.1336,41.68589,19.24527,1,0
1237661464915935525,243.0909,30.40005,15.01841,1,0
1237661464916000838,243.1677,30.27214,5.002495,1,0
1237661464916001018,243.2704,30.36894,7.792819,1,0
1237660636534276203,162.6328,45.92214,11.00179,1,0
1237660636534407241,162.96,46.00911,7.533875,1,0
1237661361304305799,220.9412,41.13217,6.487319,0,1
1237661361304305904,221.0382,41.00367,5.596265,1,0
1237661361304502433,221.5428,40.90894,8.878912,1,0
1237661464916263111,243.7422,29.97906,13.38494,1,0
1237661361304895633,222.5348,40.44131,12.95318,1,0
1237661464916328958,243.852,29.82017,9.138707,1,0
1237661464916394269,244.0385,29.75711,7.703963,1,0
1237661464916525387,244.3223,29.65064,8.81788,1,0
1237661464916590917,244.3599,29.48853,9.566287,1,0
1237660636534866029,164.373,46.35439,9.414262,0,1
1237660636534931562,164.5444,46.3932,7.752769,1,0
1237661361305551005,224.2989,39.7448,13.56624,1,0
1237660636535259241,165.6539,46.57733,6.00536,1,0
1237660636535390287,166.045,46.59494,9.144534,1,0
1237661361305616598,224.5533,39.70011,5.847646,1,0
1237661464917115291,245.4057,28.62236,9.063561,0,1
1237661361305878737,225.1072,39.45736,9.311458,1,0
1237660636535586936,166.7036,46.75175,4.549534,0,1
1237660636535652527,167.0027,46.85069,15.10804,1,0
1237661464917442930,246.0762,28.20506,6.905913,1,0
1237661361306075406,225.7806,39.21964,7.594931,0,1
1237661361306206467,226.1036,39.11917,8.652515,0,1
1237661361306271935,226.1992,38.97872,6.964558,0,1
1237661361306402863,226.6275,38.95239,8.889103,0,1
1237660636535980136,168.0156,46.91311,7.504267,1,0
1237661464917704936,246.6097,27.90428,10.84836,1,0
1237660636536111192,168.4126,47.12906,7.95189,1,0
1237661434317111407,213.3513,43.84486,9.905704,1,0
1237661361838424208,213.3654,43.91381,8.654412,1,0
1237661361838424237,213.4168,43.86655,22.39993,1,0
1237660636536307716,168.9937,47.06347,11.54962,1,0
1237660636536373360,169.2622,47.11411,12.14372,1,0
1237660636536373395,169.3198,47.16933,7.66729,1,0
1237661464918163786,247.508,27.10828,9.407509,1,0
1237661464918360307,247.8378,26.88189,6.047232,0,1
1237660636536635468,170.0629,47.27869,6.769016,0,1
1237661464918622354,248.4877,26.51286,9.790643,1,0
1237661464918622418,248.3168,26.45453,5.429275,1,0
1237661464918622467,248.4077,26.48931,10.53061,1,0
1237660636536701044,170.3677,47.34939,8.134624,1,0
1237660636536897639,170.9852,47.42036,9.013811,1,0
1237661361839407223,216.2473,43.05645,4.718197,1,0
1237661464918753762,248.769,26.30231,7.958874,1,0
1237661464918818873,248.7208,26.13778,15.53207,1,0
1237661464918884569,249.0025,26.08717,8.564466,1,0
1237660636536963123,171.1542,47.47983,9.13961,0,1
1237660636537159778,171.9788,47.39617,13.78273,1,0
1237661464918950293,249.0531,25.93125,15.99417,0,1
1237660636537225476,172.165,47.60661,8.846378,0,1
1237660636537290893,172.4137,47.53542,14.26563,1,0
1237660636537422105,172.8444,47.61806,5.669707,1,0
1237661464919080988,249.1831,25.75725,8.425187,0,1
1237660636537618528,173.5177,47.61922,8.003929,0,1
1237661464920064020,251.1378,24.35094,10.65368,1,0
1237660636537684095,173.7205,47.76911,7.257195,0,1
1237661361840062646,218.2279,42.6075,6.38563,1,0
1237661361840128114,218.2291,42.44236,6.073536,1,0
1237660636537815075,174.1281,47.8172,26.01593,1,0
1237661464920129940,251.3235,24.20639,8.508158,0,1
1237661361840193607,218.3836,42.38797,11.2929,0,1
1237661361840521364,219.3826,42.21061,4.241798,0,1
1237660636537880703,174.2097,47.78008,6.749999,0,1
1237660636537946225,174.6043,47.684,5.441496,0,1
1237661464920719901,252.2883,23.14594,6.30617,0,1
1237661361841045560,220.9188,41.66536,13.61451,0,1
1237660636538142790,175.1159,47.71514,7.29814,1,0
1237661358615429257,175.7442,47.97011,14.09993,0,1
1237661361841111198,221.0944,41.61983,14.73789,1,0
1237661361841176778,221.2729,41.47525,7.733178,1,0
1237661464921440742,253.7426,22.14845,20.9861,1,0
1237661464921571932,253.8798,21.86553,6.151712,0,1
1237661464921833962,254.3315,21.55339,8.313824,1,0
1237661465448677603,234.2693,36.27108,9.711192,0,1
1237661465448808521,234.5103,36.12806,10.73981,1,0
1237661465449201866,235.5074,35.74755,9.444037,1,0
1237661465449201907,235.4729,35.63139,10.80839,1,0
1237661465449201932,235.48,35.61814,7.726923,0,1
1237661361842618517,225.1442,39.88655,12.86053,1,0
1237661361842618579,225.034,39.90931,13.9672,0,1
1237660637071147088,162.2954,46.36258,8.808759,0,1
1237661465449332955,235.7742,35.56353,8.628028,1,0
1237661465449333002,235.7164,35.43967,6.677418,1,0
1237661465449464062,236.2317,35.36831,6.972209,1,0
1237661361843470504,227.2955,39.04039,10.75409,0,1
1237661361843470531,227.2955,39.00605,9.577328,1,0
1237660637071999071,165.0467,46.91561,6.064704,1,0
1237661465449791510,236.8295,34.99453,12.15011,0,1
1237661362375229545,213.2976,44.44069,11.24563,1,0
1237661465450250436,237.7729,34.25703,7.009844,1,0
1237661362375426154,213.9429,44.35183,5.454946,0,1
1237660637072785561,167.5774,47.3715,17.22536,1,0
1237661465450316084,238.0414,34.12686,9.528771,1,0
1237661362375622847,214.642,44.04603,7.581232,0,1
1237660637072851044,167.8473,47.36583,11.48564,1,0
1237660637070753937,161.0897,46.06356,10.20259,1,0
1237661362376212622,216.329,43.6273,11.19204,0,1
1237660637072982162,168.4212,47.3795,8.077727,1,0
1237660637073047633,168.406,47.48717,14.52219,0,1
1237660637073047653,168.4318,47.45336,7.728018,1,0
1237660637073047692,168.5147,47.44819,10.01111,0,1
1237661465450512529,238.383,33.95395,6.690116,1,0
1237661465450512642,238.4902,33.86167,10.29923,1,0
1237661362376278238,216.514,43.55267,11.47944,1,0
1237661362376278247,216.5135,43.52908,7.360281,1,0
1237660637073113266,168.7844,47.42772,6.641608,1,0
1237661465450709007,238.862,33.73817,9.982222,0,1
1237661362376802509,218.0197,43.05808,9.54865,0,1
1237661362376998941,218.4487,42.782,13.65692,1,0
1237661465450905983,239.4096,33.41092,7.425463,1,0
1237661362377523295,219.9794,42.33533,12.78649,0,1
1237661362377523367,220.1002,42.31839,8.464743,1,0
1237661465451430212,240.4814,32.56256,7.642217,1,0
1237661362377916586,221.2465,42.02111,8.293347,1,0
1237661362377982145,221.2904,41.81186,10.29912,1,0
1237661465451626754,240.9876,32.44972,7.441247,1,0
1237661465451823303,241.2375,32.10003,5.617838,1,0
1237661465451823342,241.2742,32.08292,7.076416,1,0
1237661362378113237,221.6718,41.78308,7.220806,1,0
1237661362378178772,221.8587,41.64139,6.465293,1,0
1237661465452019732,241.6775,31.89442,20.86296,1,0
1237661362378440708,222.5346,41.56661,16.34536,0,1
1237661465452020029,241.6951,31.86703,13.73076,1,0
1237661465452216373,242.0446,31.51528,9.032222,0,1
1237661465452609772,242.9887,31.101,8.787274,0,1
1237661465452609807,242.8871,30.95317,7.91856,0,1
1237661362379358303,225.0037,40.56958,9.424553,1,0
1237661465452675210,243.0805,30.79886,6.47835,1,0
1237661465452740761,243.287,30.82703,22.72889,0,1
1237661465452740762,243.3015,30.81517,7.307034,1,0
1237661362379817203,226.2815,39.92114,10.78844,0,1
1237661362379882515,226.375,39.96392,8.51875,1,0
1237661465452806383,243.3342,30.80083,7.330819,0,1
1237661362380013735,226.7426,39.78047,8.703851,1,0
1237661362380079253,226.908,39.76914,10.44125,0,1
1237661465453003118,243.8783,30.50378,7.033782,0,1
1237660637074227282,172.3769,47.94889,4.330207,0,1
1237661362380275917,227.348,39.4663,11.74912,1,0
1237661465453134009,243.9429,30.2597,8.523287,1,0
1237661465453134027,243.9248,30.2285,8.432178,1,0
1237661465453199404,244.1972,30.24697,13.53683,0,1
1237661362380538043,228.1182,39.09611,12.45446,1,0
1237661362380538078,228.037,39.17808,8.181497,1,0
1237661465453330619,244.5412,29.98983,11.26061,0,1
1237661465453330785,244.4998,30.01872,7.657087,0,1
1237661465453330845,244.464,29.92711,6.51628,0,1
1237661362912690359,215.2859,44.29016,6.343645,1,0
1237661465453527426,244.8328,29.55989,9.138943,1,0
1237661362913083445,216.5835,43.91119,10.43393,0,1
1237661362913148948,216.7178,43.90586,11.10357,0,1
1237661465453986060,245.6933,28.93572,13.73623,0,1
1237661465454051334,245.8562,28.96897,8.833173,1,0
1237661465454051593,245.8915,28.9155,8.957206,0,1
1237661465454248064,246.2493,28.56572,10.18308,0,1
1237661362913738884,218.4085,43.27697,6.054703,1,0
1237661465454706700,247.1126,27.96164,11.35432,1,0
1237661362913869924,218.7412,43.25333,6.745509,1,0
1237661465454969252,247.6582,27.46228,13.13386,1,0
1237661465455231011,248.18,27.175,7.993452,1,0
1237661465455296607,248.3585,27.05433,10.03158,0,1
1237661465455296789,248.2735,27.03106,15.46713,0,1
1237661465455296791,248.2741,27.02778,9.729867,0,1
1237661362913935518,218.9453,43.0935,15.75259,0,1
1237661362914394215,220.179,42.71078,11.40832,1,0
1237661465455296905,248.2999,27.00019,5.943534,0,1
1237661355928256627,167.0612,44.87847,10.15956,0,1
1237661362914721960,221.3302,42.47497,7.513772,1,0
1237661465455493301,248.721,26.67264,14.98159,0,1
1237661465455559037,248.8268,26.61722,7.691445,0,1
1237661362915180704,222.4133,41.89964,9.828342,1,0
1237661355928977516,169.2245,45.2873,4.124068,0,1
1237661465455624386,249.0323,26.51658,13.35905,0,1
1237661362916032677,224.7841,41.06578,6.243472,0,1
1237661465455821056,249.2957,26.28597,11.14527,0,1
1237661465456804187,251.098,24.73708,8.045292,0,1
1237661463301980393,234.8705,33.8942,10.25745,1,0
1237662335716229412,235.0741,34.17231,12.84267,1,0
1237662335716294874,235.1503,34.0812,6.343867,0,1
1237661362916491387,226.0337,40.61125,9.21254,0,1
1237662335716360213,235.1819,34.00503,5.010942,0,1
1237662335716425790,235.364,33.82886,10.40621,0,1
1237662335716491504,235.5595,33.86117,10.00912,1,0
1237661362916556915,226.1577,40.37206,25.60209,1,0
1237662335716819201,236.3211,33.36639,8.065402,1,0
1237662335717015796,236.7762,33.12258,15.16471,0,1
1237662335717343507,237.4846,32.6188,6.254398,1,0
1237662335717605408,238.0534,32.43531,8.641561,1,0
1237662335717605581,238.0881,32.40372,9.681761,1,0
1237661433243435102,213.1246,42.91156,11.0205,1,0
1237662335718064206,239.0474,31.76247,15.16318,1,0
1237662335718261039,239.4152,31.38997,7.150513,0,1
1237661433243435207,213.1337,42.95417,10.28698,0,1
1237661433243566089,213.3169,42.83117,6.440115,1,0
1237662335718523109,239.9384,31.05056,8.928813,0,1
1237662335718588772,240.2052,30.97381,5.935508,1,0
1237662335718981807,240.8625,30.4545,5.219839,0,1
1237662335719047195,241.1536,30.49517,6.572808,1,0
1237662335719113015,241.3535,30.34267,6.587821,1,0
1237662335719375069,241.8291,29.84083,9.556879,1,0
1237662335719440640,241.8573,29.81992,5.99113,1,0
1237662335719506219,242.101,29.75483,10.10635,1,0
1237661433244090537,214.8438,42.37,11.19369,1,0
1237661433244287082,215.4498,42.32786,10.78533,0,1
1237662335719768349,242.6478,29.31408,7.267274,1,0
1237662335719833791,242.6825,29.30617,9.719536,1,0
1237662335719899514,242.9729,29.17722,17.88794,1,0
1237661433244680434,216.706,41.91428,7.974562,1,0
1237661433244811538,217.0137,41.65983,7.931943,1,0
1237662335720096040,243.1983,28.86833,9.515989,1,0
1237662642268799106,243.3014,28.76442,8.230923,0,1
1237662335720161766,243.4769,28.78036,9.066729,1,0
1237662642269454576,244.5553,27.89539,8.333772,1,0
1237662335721144686,245.4186,27.46064,9.849251,1,0
1237662335721210080,245.5363,27.34844,14.10817,0,1
1237662335721210159,245.575,27.33933,8.930923,0,1
1237662335721603321,246.2768,26.78925,6.992173,0,1
1237662335721603367,246.2898,26.75172,10.45353,0,1
1237661433246908603,222.8352,39.78817,8.644892,0,1
1237661355929763917,171.7614,45.59236,7.497473,1,0
1237662335721931174,246.9889,26.24169,10.91245,0,1
1237661433780306068,213.237,43.25956,8.529295,1,0
1237661433780371572,213.3163,43.26964,7.76242,0,1
1237661433780437077,213.5487,43.28508,8.7779,1,0
1237662335722062377,247.265,26.08989,12.348,1,0
1237662642270830812,247.3136,25.96661,6.802002,1,0
1237661355928649852,168.2081,45.06361,12.33829,1,0
1237662642270896281,247.5125,25.79411,11.91171,0,1
1237662335722258655,247.5753,25.84681,8.699759,1,0
1237662642270961937,247.5843,25.73417,10.66559,0,1
1237662335722455842,248.0517,25.47178,7.621857,1,0
1237662642271355185,248.3693,25.18761,5.330945,1,0
1237662642271420890,248.5792,25.04742,10.1596,1,0
1237662642271617334,248.8477,24.80583,7.068234,0,1
1237661433781158082,215.797,42.67839,7.202269,1,0
1237661355927666855,165.0742,44.58839,5.85699,0,1
1237661852536864832,164.5605,44.43367,7.730633,1,0
1237662335723635366,250.2245,23.67772,7.810567,1,0
1237661355926749230,162.3268,44.06781,9.181926,1,0
1237661852535947479,161.783,43.88567,8.164206,1,0
1237661355926552772,161.6905,43.91789,7.716519,1,0
1237661852535947452,161.743,43.86172,9.84044,1,0
1237662336252444877,233.7753,35.34289,11.60589,1,0
1237662336252641508,234.217,35.06636,7.839642,1,0
